,Verb/Skill,Frequency,Grade,Subject
0,develop,4,Grade 5,ART
1,expand,1,Grade 5,ART
2,use,6,Grade 5,ART
3,observe,1,Grade 5,ART
4,explore,1,Grade 5,ART
5,learn,1,Grade 5,ART
6,apply,1,Grade 5,ART
7,see,1,Grade 5,ART
8,know,1,Grade 5,ART
9,experience,1,Grade 5,ART
10,examine,1,Grade 5,ART
11,create,5,Grade 5,ART
12,expect,4,Grade 5,ART
13,communicate,2,Grade 5,ART
14,draw,2,Grade 5,ART
15,discuss,2,Grade 5,ART
16,include,3,Grade 5,ART
17,express,1,Grade 5,ART
18,challenge,1,Grade 5,ART
19,foster,1,Grade 5,ART
20,solve,1,Grade 5,ART
21,integrate,1,Grade 5,ART
22,produce,1,Grade 5,ART
23,model,1,Grade 5,ART
24,demonstrate,1,Grade 5,ART
25,analyze,2,Grade 5,ART
26,compare,2,Grade 5,ART
27,evaluate,2,Grade 5,ART
28,make,2,Grade 5,ART
29,connect,1,Grade 5,ART
30,investigate,1,Grade 5,ART
31,respond,1,Grade 5,ART
32,contribute,1,Grade 5,ART
33,write,1,Grade 5,ART
34,identify,1,Grade 5,ART
35,find,1,Grade 5,ART
