,Verb/Skill,Frequency,Grade,Subject
0,understand,19,Grade 6,SOCIAL STUDIES
1,influence,9,Grade 6,SOCIAL STUDIES
2,expect,22,Grade 6,SOCIAL STUDIES
3,result,2,Grade 6,SOCIAL STUDIES
4,analyze,8,Grade 6,SOCIAL STUDIES
5,evaluate,2,Grade 6,SOCIAL STUDIES
6,identify,24,Grade 6,SOCIAL STUDIES
7,describe,10,Grade 6,SOCIAL STUDIES
8,explain,12,Grade 6,SOCIAL STUDIES
9,locate,3,Grade 6,SOCIAL STUDIES
10,impact,1,Grade 6,SOCIAL STUDIES
11,adapt,1,Grade 6,SOCIAL STUDIES
12,modify,1,Grade 6,SOCIAL STUDIES
13,arise,1,Grade 6,SOCIAL STUDIES
14,organize,6,Grade 6,SOCIAL STUDIES
15,compare,8,Grade 6,SOCIAL STUDIES
16,contrast,2,Grade 6,SOCIAL STUDIES
17,include,7,Grade 6,SOCIAL STUDIES
18,maintain,1,Grade 6,SOCIAL STUDIES
19,use,12,Grade 6,SOCIAL STUDIES
20,measure,1,Grade 6,SOCIAL STUDIES
21,give,2,Grade 6,SOCIAL STUDIES
22,limit,1,Grade 6,SOCIAL STUDIES
23,function,1,Grade 6,SOCIAL STUDIES
24,vary,2,Grade 6,SOCIAL STUDIES
25,participate,1,Grade 6,SOCIAL STUDIES
26,define,2,Grade 6,SOCIAL STUDIES
27,have,1,Grade 6,SOCIAL STUDIES
28,differ,1,Grade 6,SOCIAL STUDIES
29,sustain,1,Grade 6,SOCIAL STUDIES
30,exist,3,Grade 6,SOCIAL STUDIES
31,produce,1,Grade 6,SOCIAL STUDIES
32,convey,1,Grade 6,SOCIAL STUDIES
33,shape,1,Grade 6,SOCIAL STUDIES
34,affect,1,Grade 6,SOCIAL STUDIES
35,make,4,Grade 6,SOCIAL STUDIES
36,skill,4,Grade 6,SOCIAL STUDIES
37,apply,1,Grade 6,SOCIAL STUDIES
38,acquire,2,Grade 6,SOCIAL STUDIES
39,establish,1,Grade 6,SOCIAL STUDIES
40,sequence,1,Grade 6,SOCIAL STUDIES
41,categorize,1,Grade 6,SOCIAL STUDIES
42,find,1,Grade 6,SOCIAL STUDIES
43,draw,1,Grade 6,SOCIAL STUDIES
44,interpret,3,Grade 6,SOCIAL STUDIES
45,collect,1,Grade 6,SOCIAL STUDIES
46,answer,2,Grade 6,SOCIAL STUDIES
47,relate,1,Grade 6,SOCIAL STUDIES
48,pose,1,Grade 6,SOCIAL STUDIES
49,show,1,Grade 6,SOCIAL STUDIES
50,create,2,Grade 6,SOCIAL STUDIES
51,depict,1,Grade 6,SOCIAL STUDIES
52,write,4,Grade 6,SOCIAL STUDIES
53,incorporate,1,Grade 6,SOCIAL STUDIES
54,support,1,Grade 6,SOCIAL STUDIES
55,base,3,Grade 6,SOCIAL STUDIES
56,outline,1,Grade 6,SOCIAL STUDIES
57,avoid,1,Grade 6,SOCIAL STUDIES
58,work,1,Grade 6,SOCIAL STUDIES
59,gather,1,Grade 6,SOCIAL STUDIES
60,list,1,Grade 6,SOCIAL STUDIES
61,consider,2,Grade 6,SOCIAL STUDIES
62,choose,1,Grade 6,SOCIAL STUDIES
63,implement,1,Grade 6,SOCIAL STUDIES
