,Verb/Skill,Frequency,Grade,Subject
0,use,27,Grade 6,MATHEMATICS
1,acquire,1,Grade 6,MATHEMATICS
2,demonstrate,1,Grade 6,MATHEMATICS
3,expect,14,Grade 6,MATHEMATICS
4,apply,15,Grade 6,MATHEMATICS
5,arise,2,Grade 6,MATHEMATICS
6,solve,12,Grade 6,MATHEMATICS
7,incorporate,1,Grade 6,MATHEMATICS
8,analyze,3,Grade 6,MATHEMATICS
9,give,9,Grade 6,MATHEMATICS
10,formulate,1,Grade 6,MATHEMATICS
11,determine,5,Grade 6,MATHEMATICS
12,justify,3,Grade 6,MATHEMATICS
13,evaluate,1,Grade 6,MATHEMATICS
14,include,17,Grade 6,MATHEMATICS
15,communicate,3,Grade 6,MATHEMATICS
16,create,1,Grade 6,MATHEMATICS
17,organize,1,Grade 6,MATHEMATICS
18,connect,2,Grade 6,MATHEMATICS
19,explain,3,Grade 6,MATHEMATICS
20,write,4,Grade 6,MATHEMATICS
21,represent,15,Grade 6,MATHEMATICS
22,classify,1,Grade 6,MATHEMATICS
23,describe,8,Grade 6,MATHEMATICS
24,identify,3,Grade 6,MATHEMATICS
25,compare,4,Grade 6,MATHEMATICS
26,order,2,Grade 6,MATHEMATICS
27,extend,2,Grade 6,MATHEMATICS
28,recognize,1,Grade 6,MATHEMATICS
29,increase,1,Grade 6,MATHEMATICS
30,decrease,1,Grade 6,MATHEMATICS
31,multiply,1,Grade 6,MATHEMATICS
32,add,1,Grade 6,MATHEMATICS
33,divide,2,Grade 6,MATHEMATICS
34,develop,3,Grade 6,MATHEMATICS
35,involve,5,Grade 6,MATHEMATICS
36,have,1,Grade 6,MATHEMATICS
37,generate,3,Grade 6,MATHEMATICS
38,find,3,Grade 6,MATHEMATICS
39,show,1,Grade 6,MATHEMATICS
40,form,1,Grade 6,MATHEMATICS
41,triangle,1,Grade 6,MATHEMATICS
42,decompose,1,Grade 6,MATHEMATICS
43,rearrange,1,Grade 6,MATHEMATICS
44,relate,1,Grade 6,MATHEMATICS
45,correspond,1,Grade 6,MATHEMATICS
46,graph,1,Grade 6,MATHEMATICS
47,spread,2,Grade 6,MATHEMATICS
48,summarize,3,Grade 6,MATHEMATICS
49,interpret,1,Grade 6,MATHEMATICS
50,distinguish,2,Grade 6,MATHEMATICS
51,yield,1,Grade 6,MATHEMATICS
52,check,1,Grade 6,MATHEMATICS
53,offer,1,Grade 6,MATHEMATICS
54,balance,1,Grade 6,MATHEMATICS
55,establish,1,Grade 6,MATHEMATICS
56,retain,1,Grade 6,MATHEMATICS
57,pay,1,Grade 6,MATHEMATICS
58,require,1,Grade 6,MATHEMATICS
59,calculate,1,Grade 6,MATHEMATICS
