,Verb/Skill,Frequency,Grade,Subject
0,conduct,2,Grade 8,SCIENCE
1,follow,1,Grade 8,SCIENCE
2,expect,11,Grade 8,SCIENCE
3,demonstrate,2,Grade 8,SCIENCE
4,outline,1,Grade 8,SCIENCE
5,approve,1,Grade 8,SCIENCE
6,include,9,Grade 8,SCIENCE
7,use,16,Grade 8,SCIENCE
8,implement,2,Grade 8,SCIENCE
9,make,3,Grade 8,SCIENCE
10,ask,2,Grade 8,SCIENCE
11,define,2,Grade 8,SCIENCE
12,formulate,2,Grade 8,SCIENCE
13,label,1,Grade 8,SCIENCE
14,construct,1,Grade 8,SCIENCE
15,repeat,1,Grade 8,SCIENCE
16,organize,1,Grade 8,SCIENCE
17,identify,8,Grade 8,SCIENCE
18,analyze,2,Grade 8,SCIENCE
19,communicate,1,Grade 8,SCIENCE
20,support,2,Grade 8,SCIENCE
21,predict,3,Grade 8,SCIENCE
22,solve,1,Grade 8,SCIENCE
23,know,9,Grade 8,SCIENCE
24,evaluate,1,Grade 8,SCIENCE
25,critique,1,Grade 8,SCIENCE
26,encourage,1,Grade 8,SCIENCE
27,represent,1,Grade 8,SCIENCE
28,relate,5,Grade 8,SCIENCE
29,graduate,1,Grade 8,SCIENCE
30,time,1,Grade 8,SCIENCE
31,collect,1,Grade 8,SCIENCE
32,compose,1,Grade 8,SCIENCE
33,have,1,Grade 8,SCIENCE
34,describe,5,Grade 8,SCIENCE
35,determine,3,Grade 8,SCIENCE
36,interpret,2,Grade 8,SCIENCE
37,explain,2,Grade 8,SCIENCE
38,classify,1,Grade 8,SCIENCE
39,recognize,3,Grade 8,SCIENCE
40,contain,1,Grade 8,SCIENCE
41,investigate,3,Grade 8,SCIENCE
42,indicate,1,Grade 8,SCIENCE
43,form,1,Grade 8,SCIENCE
44,be,1,Grade 8,SCIENCE
45,calculate,1,Grade 8,SCIENCE
46,change,1,Grade 8,SCIENCE
47,result,1,Grade 8,SCIENCE
48,illustrate,1,Grade 8,SCIENCE
49,tilt,1,Grade 8,SCIENCE
50,rotate,1,Grade 8,SCIENCE
51,cause,2,Grade 8,SCIENCE
52,revolve,1,Grade 8,SCIENCE
53,locate,1,Grade 8,SCIENCE
54,gain,1,Grade 8,SCIENCE
55,develop,1,Grade 8,SCIENCE
56,impact,1,Grade 8,SCIENCE
57,reshape,1,Grade 8,SCIENCE
58,exist,1,Grade 8,SCIENCE
59,provide,1,Grade 8,SCIENCE
60,drive,1,Grade 8,SCIENCE
61,produce,1,Grade 8,SCIENCE
62,show,1,Grade 8,SCIENCE
63,occur,1,Grade 8,SCIENCE
64,affect,2,Grade 8,SCIENCE
65,depend,1,Grade 8,SCIENCE
66,compete,1,Grade 8,SCIENCE
67,explore,1,Grade 8,SCIENCE
68,modify,1,Grade 8,SCIENCE
