,Verb/Skill,Frequency,Grade,Subject
0,develop,4,Grade 7,ART
1,expand,1,Grade 7,ART
2,use,9,Grade 7,ART
3,observe,1,Grade 7,ART
4,explore,2,Grade 7,ART
5,learn,1,Grade 7,ART
6,apply,5,Grade 7,ART
7,see,1,Grade 7,ART
8,know,1,Grade 7,ART
9,experience,1,Grade 7,ART
10,examine,1,Grade 7,ART
11,create,3,Grade 7,ART
12,expect,4,Grade 7,ART
13,identify,2,Grade 7,ART
14,illustrate,1,Grade 7,ART
15,compare,3,Grade 7,ART
16,contrast,2,Grade 7,ART
17,include,4,Grade 7,ART
18,understand,1,Grade 7,ART
19,communicate,1,Grade 7,ART
20,express,2,Grade 7,ART
21,challenge,1,Grade 7,ART
22,foster,1,Grade 7,ART
23,solve,2,Grade 7,ART
24,base,1,Grade 7,ART
25,make,2,Grade 7,ART
26,generate,1,Grade 7,ART
27,produce,1,Grade 7,ART
28,model,1,Grade 7,ART
29,work,1,Grade 7,ART
30,demonstrate,3,Grade 7,ART
31,analyze,5,Grade 7,ART
32,artwork,1,Grade 7,ART
33,select,1,Grade 7,ART
34,determine,1,Grade 7,ART
35,exist,1,Grade 7,ART
36,respond,1,Grade 7,ART
37,contribute,1,Grade 7,ART
38,write,1,Grade 7,ART
39,address,1,Grade 7,ART
40,describe,1,Grade 7,ART
41,organize,1,Grade 7,ART
42,interpret,1,Grade 7,ART
43,evaluate,1,Grade 7,ART
44,investigate,1,Grade 7,ART
