,Verb/Skill,Frequency,Grade,Subject
0,develop,3,Grade 8,ART
1,expand,1,Grade 8,ART
2,use,9,Grade 8,ART
3,observe,1,Grade 8,ART
4,explore,2,Grade 8,ART
5,learn,1,Grade 8,ART
6,apply,2,Grade 8,ART
7,see,1,Grade 8,ART
8,know,1,Grade 8,ART
9,experience,1,Grade 8,ART
10,examine,1,Grade 8,ART
11,create,5,Grade 8,ART
12,expect,4,Grade 8,ART
13,identify,1,Grade 8,ART
14,illustrate,1,Grade 8,ART
15,evaluate,4,Grade 8,ART
16,include,5,Grade 8,ART
17,compare,2,Grade 8,ART
18,contrast,1,Grade 8,ART
19,communicate,1,Grade 8,ART
20,express,3,Grade 8,ART
21,challenge,1,Grade 8,ART
22,foster,1,Grade 8,ART
23,solve,2,Grade 8,ART
24,find,1,Grade 8,ART
25,make,2,Grade 8,ART
26,generate,1,Grade 8,ART
27,select,1,Grade 8,ART
28,model,1,Grade 8,ART
29,work,1,Grade 8,ART
30,demonstrate,2,Grade 8,ART
31,analyze,5,Grade 8,ART
32,influence,1,Grade 8,ART
33,relate,1,Grade 8,ART
34,exist,1,Grade 8,ART
35,respond,1,Grade 8,ART
36,contribute,1,Grade 8,ART
37,write,1,Grade 8,ART
38,address,1,Grade 8,ART
39,describe,1,Grade 8,ART
40,organize,1,Grade 8,ART
41,interpret,1,Grade 8,ART
42,investigate,1,Grade 8,ART
43,understand,1,Grade 8,ART
