,Verb/Skill,Frequency,Grade,Subject
0,develop,3,Grade 7,THEATRE
1,use,4,Grade 7,THEATRE
2,expect,5,Grade 7,THEATRE
3,apply,3,Grade 7,THEATRE
4,create,5,Grade 7,THEATRE
5,increase,1,Grade 7,THEATRE
6,demonstrate,5,Grade 7,THEATRE
7,evaluate,3,Grade 7,THEATRE
8,interpret,1,Grade 7,THEATRE
9,define,2,Grade 7,THEATRE
10,say,2,Grade 7,THEATRE
11,portray,1,Grade 7,THEATRE
12,have,1,Grade 7,THEATRE
13,express,1,Grade 7,THEATRE
14,compare,1,Grade 7,THEATRE
15,contrast,1,Grade 7,THEATRE
16,improvise,1,Grade 7,THEATRE
17,include,1,Grade 7,THEATRE
18,determine,1,Grade 7,THEATRE
19,provide,1,Grade 7,THEATRE
20,support,1,Grade 7,THEATRE
21,relate,1,Grade 7,THEATRE
22,explore,3,Grade 7,THEATRE
23,work,1,Grade 7,THEATRE
24,respond,1,Grade 7,THEATRE
25,understand,1,Grade 7,THEATRE
26,select,1,Grade 7,THEATRE
