,Verb/Skill,Frequency,Grade,Subject
0,develop,2,Grade 8,THEATRE
1,use,7,Grade 8,THEATRE
2,expect,5,Grade 8,THEATRE
3,evaluate,3,Grade 8,THEATRE
4,explore,6,Grade 8,THEATRE
5,create,4,Grade 8,THEATRE
6,define,1,Grade 8,THEATRE
7,demonstrate,4,Grade 8,THEATRE
8,increase,1,Grade 8,THEATRE
9,apply,3,Grade 8,THEATRE
10,interpret,1,Grade 8,THEATRE
11,portray,1,Grade 8,THEATRE
12,reflect,1,Grade 8,THEATRE
13,improvise,1,Grade 8,THEATRE
14,express,1,Grade 8,THEATRE
15,select,1,Grade 8,THEATRE
16,suggest,1,Grade 8,THEATRE
17,establish,1,Grade 8,THEATRE
18,support,1,Grade 8,THEATRE
19,solver,1,Grade 8,THEATRE
20,relate,1,Grade 8,THEATRE
21,preserve,1,Grade 8,THEATRE
22,work,1,Grade 8,THEATRE
23,respond,1,Grade 8,THEATRE
24,understand,1,Grade 8,THEATRE
