,Verb/Skill,Frequency,Grade,Subject
0,develop,3,Grade 5,THEATRE
1,use,8,Grade 5,THEATRE
2,expect,5,Grade 5,THEATRE
3,relate,2,Grade 5,THEATRE
4,plan,1,Grade 5,THEATRE
5,integrate,1,Grade 5,THEATRE
6,demonstrate,4,Grade 5,THEATRE
7,interpret,1,Grade 5,THEATRE
8,create,4,Grade 5,THEATRE
9,describe,3,Grade 5,THEATRE
10,portray,1,Grade 5,THEATRE
11,dramatize,1,Grade 5,THEATRE
12,apply,2,Grade 5,THEATRE
13,alter,1,Grade 5,THEATRE
14,interact,1,Grade 5,THEATRE
15,explain,1,Grade 5,THEATRE
16,examine,1,Grade 5,THEATRE
17,compare,2,Grade 5,THEATRE
18,respond,1,Grade 5,THEATRE
19,evaluate,1,Grade 5,THEATRE
20,kinetic,1,Grade 5,THEATRE
21,identify,1,Grade 5,THEATRE
22,discuss,1,Grade 5,THEATRE
23,enhance,1,Grade 5,THEATRE
24,depict,1,Grade 5,THEATRE
