,Verb/Skill,Frequency,Grade,Subject
0,use,28,Grade 4,MATHEMATICS
1,acquire,1,Grade 4,MATHEMATICS
2,demonstrate,1,Grade 4,MATHEMATICS
3,expect,10,Grade 4,MATHEMATICS
4,apply,11,Grade 4,MATHEMATICS
5,arise,1,Grade 4,MATHEMATICS
6,solve,13,Grade 4,MATHEMATICS
7,incorporate,1,Grade 4,MATHEMATICS
8,analyze,3,Grade 4,MATHEMATICS
9,give,8,Grade 4,MATHEMATICS
10,formulate,1,Grade 4,MATHEMATICS
11,determine,7,Grade 4,MATHEMATICS
12,justify,2,Grade 4,MATHEMATICS
13,evaluate,2,Grade 4,MATHEMATICS
14,include,11,Grade 4,MATHEMATICS
15,communicate,3,Grade 4,MATHEMATICS
16,create,1,Grade 4,MATHEMATICS
17,organize,1,Grade 4,MATHEMATICS
18,connect,1,Grade 4,MATHEMATICS
19,explain,1,Grade 4,MATHEMATICS
20,write,1,Grade 4,MATHEMATICS
21,represent,16,Grade 4,MATHEMATICS
22,compare,5,Grade 4,MATHEMATICS
23,order,2,Grade 4,MATHEMATICS
24,understand,1,Grade 4,MATHEMATICS
25,relate,3,Grade 4,MATHEMATICS
26,interpret,3,Grade 4,MATHEMATICS
27,expand,1,Grade 4,MATHEMATICS
28,round,1,Grade 4,MATHEMATICS
29,name,1,Grade 4,MATHEMATICS
30,correspond,1,Grade 4,MATHEMATICS
31,specify,1,Grade 4,MATHEMATICS
32,generate,2,Grade 4,MATHEMATICS
33,decompose,1,Grade 4,MATHEMATICS
34,build,1,Grade 4,MATHEMATICS
35,refer,1,Grade 4,MATHEMATICS
36,develop,3,Grade 4,MATHEMATICS
37,add,1,Grade 4,MATHEMATICS
38,subtract,1,Grade 4,MATHEMATICS
39,multiply,2,Grade 4,MATHEMATICS
40,divide,2,Grade 4,MATHEMATICS
41,estimate,1,Grade 4,MATHEMATICS
42,involve,5,Grade 4,MATHEMATICS
43,stand,1,Grade 4,MATHEMATICS
44,follow,1,Grade 4,MATHEMATICS
45,result,1,Grade 4,MATHEMATICS
46,identify,4,Grade 4,MATHEMATICS
47,draw,2,Grade 4,MATHEMATICS
48,exist,1,Grade 4,MATHEMATICS
49,classify,1,Grade 4,MATHEMATICS
50,base,1,Grade 4,MATHEMATICS
51,illustrate,1,Grade 4,MATHEMATICS
52,cut,1,Grade 4,MATHEMATICS
53,limit,1,Grade 4,MATHEMATICS
54,measure,1,Grade 4,MATHEMATICS
55,form,1,Grade 4,MATHEMATICS
56,select,1,Grade 4,MATHEMATICS
57,convert,1,Grade 4,MATHEMATICS
58,deal,1,Grade 4,MATHEMATICS
59,collect,1,Grade 4,MATHEMATICS
60,display,1,Grade 4,MATHEMATICS
61,mark,1,Grade 4,MATHEMATICS
62,manage,1,Grade 4,MATHEMATICS
63,fix,1,Grade 4,MATHEMATICS
64,calculate,1,Grade 4,MATHEMATICS
65,describe,2,Grade 4,MATHEMATICS
66,allocate,1,Grade 4,MATHEMATICS
67,keep,1,Grade 4,MATHEMATICS
68,borrow,1,Grade 4,MATHEMATICS
