,Verb/Skill,Frequency,Grade,Subject
0,conduct,2,Grade 6,SCIENCE
1,follow,1,Grade 6,SCIENCE
2,expect,12,Grade 6,SCIENCE
3,demonstrate,2,Grade 6,SCIENCE
4,outline,1,Grade 6,SCIENCE
5,approve,1,Grade 6,SCIENCE
6,include,12,Grade 6,SCIENCE
7,use,18,Grade 6,SCIENCE
8,implement,2,Grade 6,SCIENCE
9,make,3,Grade 6,SCIENCE
10,ask,2,Grade 6,SCIENCE
11,define,2,Grade 6,SCIENCE
12,formulate,2,Grade 6,SCIENCE
13,label,1,Grade 6,SCIENCE
14,construct,1,Grade 6,SCIENCE
15,repeat,1,Grade 6,SCIENCE
16,organize,1,Grade 6,SCIENCE
17,identify,7,Grade 6,SCIENCE
18,analyze,2,Grade 6,SCIENCE
19,communicate,1,Grade 6,SCIENCE
20,support,1,Grade 6,SCIENCE
21,predict,1,Grade 6,SCIENCE
22,solve,1,Grade 6,SCIENCE
23,know,10,Grade 6,SCIENCE
24,evaluate,1,Grade 6,SCIENCE
25,critique,1,Grade 6,SCIENCE
26,encourage,1,Grade 6,SCIENCE
27,represent,3,Grade 6,SCIENCE
28,relate,3,Grade 6,SCIENCE
29,graduate,1,Grade 6,SCIENCE
30,collect,1,Grade 6,SCIENCE
31,recognize,5,Grade 6,SCIENCE
32,comprise,2,Grade 6,SCIENCE
33,calculate,2,Grade 6,SCIENCE
34,test,1,Grade 6,SCIENCE
35,streak,1,Grade 6,SCIENCE
36,renew,1,Grade 6,SCIENCE
37,deplete,1,Grade 6,SCIENCE
38,research,1,Grade 6,SCIENCE
39,discuss,1,Grade 6,SCIENCE
40,contrast,1,Grade 6,SCIENCE
41,describe,5,Grade 6,SCIENCE
42,act,1,Grade 6,SCIENCE
43,investigate,1,Grade 6,SCIENCE
44,change,2,Grade 6,SCIENCE
45,move,1,Grade 6,SCIENCE
46,create,1,Grade 6,SCIENCE
47,destroy,1,Grade 6,SCIENCE
48,verify,1,Grade 6,SCIENCE
49,cooler,1,Grade 6,SCIENCE
50,attain,1,Grade 6,SCIENCE
51,understand,4,Grade 6,SCIENCE
52,build,1,Grade 6,SCIENCE
53,illustrate,1,Grade 6,SCIENCE
54,classify,3,Grade 6,SCIENCE
55,cause,1,Grade 6,SCIENCE
56,govern,1,Grade 6,SCIENCE
57,need,1,Grade 6,SCIENCE
58,share,1,Grade 6,SCIENCE
59,allow,1,Grade 6,SCIENCE
60,interact,2,Grade 6,SCIENCE
61,nonlive,1,Grade 6,SCIENCE
62,compose,1,Grade 6,SCIENCE
63,determine,1,Grade 6,SCIENCE
64,live,1,Grade 6,SCIENCE
65,divide,1,Grade 6,SCIENCE
66,diagram,1,Grade 6,SCIENCE
