,Verb/Skill,Frequency,Grade,Subject
0,incorporate,1,Grade 6,THEATRE
1,offer,1,Grade 6,THEATRE
2,empower,1,Grade 6,THEATRE
3,explore,1,Grade 6,THEATRE
4,engage,3,Grade 6,THEATRE
5,motivate,1,Grade 6,THEATRE
6,solve,1,Grade 6,THEATRE
7,develop,5,Grade 6,THEATRE
8,increase,2,Grade 6,THEATRE
9,make,1,Grade 6,THEATRE
10,lead,1,Grade 6,THEATRE
11,encourage,1,Grade 6,THEATRE
12,nurture,1,Grade 6,THEATRE
13,provide,1,Grade 6,THEATRE
14,organize,1,Grade 6,THEATRE
15,expect,1,Grade 6,THEATRE
16,acquire,1,Grade 6,THEATRE
17,use,1,Grade 6,THEATRE
18,communicate,1,Grade 6,THEATRE
19,build,1,Grade 6,THEATRE
20,relate,1,Grade 6,THEATRE
21,integrate,1,Grade 6,THEATRE
22,express,1,Grade 6,THEATRE
23,accept,1,Grade 6,THEATRE
24,revise,1,Grade 6,THEATRE
25,promote,1,Grade 6,THEATRE
26,appreciate,1,Grade 6,THEATRE
27,evaluate,1,Grade 6,THEATRE
28,contain,2,Grade 6,THEATRE
29,include,1,Grade 6,THEATRE
30,master,1,Grade 6,THEATRE
31,intend,1,Grade 6,THEATRE
