,Verb/Skill,Frequency,Grade,Subject
0,understand,18,Grade 4,SOCIAL STUDIES
1,expect,22,Grade 4,SOCIAL STUDIES
2,explain,24,Grade 4,SOCIAL STUDIES
3,identify,22,Grade 4,SOCIAL STUDIES
4,compare,6,Grade 4,SOCIAL STUDIES
5,describe,8,Grade 4,SOCIAL STUDIES
6,live,2,Grade 4,SOCIAL STUDIES
7,locate,2,Grade 4,SOCIAL STUDIES
8,remain,1,Grade 4,SOCIAL STUDIES
9,summarize,3,Grade 4,SOCIAL STUDIES
10,include,14,Grade 4,SOCIAL STUDIES
11,establish,1,Grade 4,SOCIAL STUDIES
12,analyze,3,Grade 4,SOCIAL STUDIES
13,lead,1,Grade 4,SOCIAL STUDIES
14,make,4,Grade 4,SOCIAL STUDIES
15,bring,1,Grade 4,SOCIAL STUDIES
16,influence,3,Grade 4,SOCIAL STUDIES
17,adapt,3,Grade 4,SOCIAL STUDIES
18,modify,3,Grade 4,SOCIAL STUDIES
19,wetland,1,Grade 4,SOCIAL STUDIES
20,meet,3,Grade 4,SOCIAL STUDIES
21,enhance,1,Grade 4,SOCIAL STUDIES
22,use,8,Grade 4,SOCIAL STUDIES
23,want,2,Grade 4,SOCIAL STUDIES
24,work,2,Grade 4,SOCIAL STUDIES
25,earn,1,Grade 4,SOCIAL STUDIES
26,organize,3,Grade 4,SOCIAL STUDIES
27,govern,1,Grade 4,SOCIAL STUDIES
28,accord,1,Grade 4,SOCIAL STUDIES
29,fly,1,Grade 4,SOCIAL STUDIES
30,sing,1,Grade 4,SOCIAL STUDIES
31,recite,1,Grade 4,SOCIAL STUDIES
32,participate,3,Grade 4,SOCIAL STUDIES
33,hold,1,Grade 4,SOCIAL STUDIES
34,write,4,Grade 4,SOCIAL STUDIES
35,inform,1,Grade 4,SOCIAL STUDIES
36,vote,1,Grade 4,SOCIAL STUDIES
37,model,1,Grade 4,SOCIAL STUDIES
38,contact,1,Grade 4,SOCIAL STUDIES
39,elect,1,Grade 4,SOCIAL STUDIES
40,appoint,1,Grade 4,SOCIAL STUDIES
41,benefit,1,Grade 4,SOCIAL STUDIES
42,skill,4,Grade 4,SOCIAL STUDIES
43,apply,3,Grade 4,SOCIAL STUDIES
44,acquire,2,Grade 4,SOCIAL STUDIES
45,artifact,1,Grade 4,SOCIAL STUDIES
46,sequence,1,Grade 4,SOCIAL STUDIES
47,categorize,1,Grade 4,SOCIAL STUDIES
48,contrast,1,Grade 4,SOCIAL STUDIES
49,find,1,Grade 4,SOCIAL STUDIES
50,draw,1,Grade 4,SOCIAL STUDIES
51,interpret,4,Grade 4,SOCIAL STUDIES
52,collect,1,Grade 4,SOCIAL STUDIES
53,create,2,Grade 4,SOCIAL STUDIES
54,incorporate,1,Grade 4,SOCIAL STUDIES
55,support,1,Grade 4,SOCIAL STUDIES
56,base,1,Grade 4,SOCIAL STUDIES
57,outline,1,Grade 4,SOCIAL STUDIES
58,gather,1,Grade 4,SOCIAL STUDIES
59,list,1,Grade 4,SOCIAL STUDIES
60,consider,2,Grade 4,SOCIAL STUDIES
61,choose,1,Grade 4,SOCIAL STUDIES
62,implement,1,Grade 4,SOCIAL STUDIES
63,evaluate,1,Grade 4,SOCIAL STUDIES
