,Verb/Skill,Frequency,Grade,Subject
0,understand,28,Grade 8,SOCIAL STUDIES
1,expect,31,Grade 8,SOCIAL STUDIES
2,identify,19,Grade 8,SOCIAL STUDIES
3,include,24,Grade 8,SOCIAL STUDIES
4,describe,10,Grade 8,SOCIAL STUDIES
5,explain,23,Grade 8,SOCIAL STUDIES
6,follow,2,Grade 8,SOCIAL STUDIES
7,found,1,Grade 8,SOCIAL STUDIES
8,write,4,Grade 8,SOCIAL STUDIES
9,compare,6,Grade 8,SOCIAL STUDIES
10,analyze,21,Grade 8,SOCIAL STUDIES
11,contribute,2,Grade 8,SOCIAL STUDIES
12,play,2,Grade 8,SOCIAL STUDIES
13,surround,2,Grade 8,SOCIAL STUDIES
14,declare,1,Grade 8,SOCIAL STUDIES
15,fight,1,Grade 8,SOCIAL STUDIES
16,endure,1,Grade 8,SOCIAL STUDIES
17,sign,1,Grade 8,SOCIAL STUDIES
18,confront,1,Grade 8,SOCIAL STUDIES
19,face,1,Grade 8,SOCIAL STUDIES
20,maintain,1,Grade 8,SOCIAL STUDIES
21,create,5,Grade 8,SOCIAL STUDIES
22,set,1,Grade 8,SOCIAL STUDIES
23,summarize,6,Grade 8,SOCIAL STUDIES
24,regard,1,Grade 8,SOCIAL STUDIES
25,expand,1,Grade 8,SOCIAL STUDIES
26,establish,2,Grade 8,SOCIAL STUDIES
27,lead,1,Grade 8,SOCIAL STUDIES
28,recipient,1,Grade 8,SOCIAL STUDIES
29,cause,1,Grade 8,SOCIAL STUDIES
30,contain,2,Grade 8,SOCIAL STUDIES
31,contrast,2,Grade 8,SOCIAL STUDIES
32,evaluate,8,Grade 8,SOCIAL STUDIES
33,reconstruct,1,Grade 8,SOCIAL STUDIES
34,relate,1,Grade 8,SOCIAL STUDIES
35,turn,1,Grade 8,SOCIAL STUDIES
36,adapt,1,Grade 8,SOCIAL STUDIES
37,modify,1,Grade 8,SOCIAL STUDIES
38,influence,2,Grade 8,SOCIAL STUDIES
39,develop,2,Grade 8,SOCIAL STUDIES
40,select,2,Grade 8,SOCIAL STUDIES
41,result,3,Grade 8,SOCIAL STUDIES
42,bring,2,Grade 8,SOCIAL STUDIES
43,reflect,3,Grade 8,SOCIAL STUDIES
44,list,2,Grade 8,SOCIAL STUDIES
45,address,2,Grade 8,SOCIAL STUDIES
46,change,3,Grade 8,SOCIAL STUDIES
47,amend,1,Grade 8,SOCIAL STUDIES
48,arise,1,Grade 8,SOCIAL STUDIES
49,dre,1,Grade 8,SOCIAL STUDIES
50,give,1,Grade 8,SOCIAL STUDIES
51,guarantee,1,Grade 8,SOCIAL STUDIES
52,obey,1,Grade 8,SOCIAL STUDIES
53,stay,1,Grade 8,SOCIAL STUDIES
54,inform,1,Grade 8,SOCIAL STUDIES
55,serve,1,Grade 8,SOCIAL STUDIES
56,pay,1,Grade 8,SOCIAL STUDIES
57,elect,1,Grade 8,SOCIAL STUDIES
58,appoint,1,Grade 8,SOCIAL STUDIES
59,settle,1,Grade 8,SOCIAL STUDIES
60,trace,1,Grade 8,SOCIAL STUDIES
61,manufacture,1,Grade 8,SOCIAL STUDIES
62,distribute,1,Grade 8,SOCIAL STUDIES
63,skill,3,Grade 8,SOCIAL STUDIES
64,apply,2,Grade 8,SOCIAL STUDIES
65,organize,2,Grade 8,SOCIAL STUDIES
66,use,6,Grade 8,SOCIAL STUDIES
67,acquire,2,Grade 8,SOCIAL STUDIES
68,artifact,1,Grade 8,SOCIAL STUDIES
69,sequence,1,Grade 8,SOCIAL STUDIES
70,categorize,1,Grade 8,SOCIAL STUDIES
71,find,1,Grade 8,SOCIAL STUDIES
72,make,3,Grade 8,SOCIAL STUDIES
73,draw,1,Grade 8,SOCIAL STUDIES
74,interpret,1,Grade 8,SOCIAL STUDIES
75,support,1,Grade 8,SOCIAL STUDIES
76,base,1,Grade 8,SOCIAL STUDIES
77,represent,1,Grade 8,SOCIAL STUDIES
78,pose,1,Grade 8,SOCIAL STUDIES
79,answer,1,Grade 8,SOCIAL STUDIES
80,show,1,Grade 8,SOCIAL STUDIES
81,avoid,1,Grade 8,SOCIAL STUDIES
82,work,1,Grade 8,SOCIAL STUDIES
83,gather,1,Grade 8,SOCIAL STUDIES
84,consider,2,Grade 8,SOCIAL STUDIES
85,choose,1,Grade 8,SOCIAL STUDIES
86,implement,1,Grade 8,SOCIAL STUDIES
