,Verb/Skill,Frequency,Grade,Subject
0,use,26,Grade 7,MATHEMATICS
1,acquire,1,Grade 7,MATHEMATICS
2,demonstrate,1,Grade 7,MATHEMATICS
3,expect,13,Grade 7,MATHEMATICS
4,apply,14,Grade 7,MATHEMATICS
5,arise,1,Grade 7,MATHEMATICS
6,solve,19,Grade 7,MATHEMATICS
7,incorporate,1,Grade 7,MATHEMATICS
8,analyze,3,Grade 7,MATHEMATICS
9,give,5,Grade 7,MATHEMATICS
10,formulate,1,Grade 7,MATHEMATICS
11,determine,11,Grade 7,MATHEMATICS
12,justify,3,Grade 7,MATHEMATICS
13,evaluate,1,Grade 7,MATHEMATICS
14,include,12,Grade 7,MATHEMATICS
15,communicate,3,Grade 7,MATHEMATICS
16,create,2,Grade 7,MATHEMATICS
17,organize,2,Grade 7,MATHEMATICS
18,connect,4,Grade 7,MATHEMATICS
19,explain,2,Grade 7,MATHEMATICS
20,write,4,Grade 7,MATHEMATICS
21,represent,11,Grade 7,MATHEMATICS
22,extend,2,Grade 7,MATHEMATICS
23,describe,5,Grade 7,MATHEMATICS
24,add,1,Grade 7,MATHEMATICS
25,divide,2,Grade 7,MATHEMATICS
26,involve,8,Grade 7,MATHEMATICS
27,calculate,5,Grade 7,MATHEMATICS
28,generalize,1,Grade 7,MATHEMATICS
29,select,1,Grade 7,MATHEMATICS
30,make,4,Grade 7,MATHEMATICS
31,find,1,Grade 7,MATHEMATICS
32,relate,1,Grade 7,MATHEMATICS
33,simplify,1,Grade 7,MATHEMATICS
34,develop,2,Grade 7,MATHEMATICS
35,have,2,Grade 7,MATHEMATICS
36,contain,1,Grade 7,MATHEMATICS
37,compare,5,Grade 7,MATHEMATICS
38,spread,1,Grade 7,MATHEMATICS
39,base,1,Grade 7,MATHEMATICS
40,earn,1,Grade 7,MATHEMATICS
41,identify,1,Grade 7,MATHEMATICS
42,plan,1,Grade 7,MATHEMATICS
43,fix,1,Grade 7,MATHEMATICS
44,record,1,Grade 7,MATHEMATICS
45,construct,1,Grade 7,MATHEMATICS
46,need,1,Grade 7,MATHEMATICS
47,meet,1,Grade 7,MATHEMATICS
