,Verb/Skill,Frequency,Grade,Subject
0,develop,4,Grade 8,DANCE
1,use,4,Grade 8,DANCE
2,dance,2,Grade 8,DANCE
3,expect,5,Grade 8,DANCE
4,demonstrate,4,Grade 8,DANCE
5,distinguish,1,Grade 8,DANCE
6,implement,1,Grade 8,DANCE
7,apply,3,Grade 8,DANCE
8,create,3,Grade 8,DANCE
9,perform,4,Grade 8,DANCE
10,express,1,Grade 8,DANCE
11,communicate,2,Grade 8,DANCE
12,project,1,Grade 8,DANCE
13,evaluate,4,Grade 8,DANCE
14,incorporate,2,Grade 8,DANCE
15,practice,1,Grade 8,DANCE
16,contrast,2,Grade 8,DANCE
17,identify,1,Grade 8,DANCE
18,represent,1,Grade 8,DANCE
19,make,1,Grade 8,DANCE
20,compare,1,Grade 8,DANCE
21,justify,1,Grade 8,DANCE
